epoch,lr-Adam,step,train/n_events,train/nll,val/n_events,val/nll
,0.001,0,,,,
0,,6,,,260.7200012207031,44.21208190917969
0,,6,274.1199951171875,88.52312469482422,,
,0.001,7,,,,
1,,13,,,260.7200012207031,22.94646453857422
1,,13,276.1600036621094,34.306339263916016,,
,0.001,14,,,,
2,,20,,,260.7200012207031,20.8748779296875
2,,20,277.0,22.495342254638672,,
,0.001,21,,,,
3,,27,,,260.7200012207031,20.657909393310547
3,,27,277.239990234375,21.549646377563477,,
,0.001,28,,,,
4,,34,,,260.7200012207031,20.530485153198242
4,,34,276.1600036621094,21.3666934967041,,
,0.001,35,,,,
5,,41,,,260.7200012207031,20.41436004638672
5,,41,277.6000061035156,21.394775390625,,
,0.001,42,,,,
6,,48,,,260.7200012207031,20.30229949951172
6,,48,277.6000061035156,21.13638687133789,,
,0.001,49,,,,
7,,55,,,260.7200012207031,20.192913055419922
7,,55,277.7200012207031,21.01926040649414,,
,0.001,56,,,,
8,,62,,,260.7200012207031,20.08563804626465
8,,62,276.2799987792969,20.894237518310547,,
,0.001,63,,,,
9,,69,,,260.7200012207031,19.980119705200195
9,,69,275.44000244140625,20.837303161621094,,
,0.001,70,,,,
10,,76,,,260.7200012207031,19.876113891601562
10,,76,276.6400146484375,20.674755096435547,,
,0.001,77,,,,
11,,83,,,260.7200012207031,19.773418426513672
11,,83,274.8399963378906,20.582015991210938,,
,0.001,84,,,,
12,,90,,,260.7200012207031,19.67188262939453
12,,90,276.2799987792969,20.479806900024414,,
,0.001,91,,,,
13,,97,,,260.7200012207031,19.571393966674805
13,,97,277.0,20.392253875732422,,
,0.001,98,,,,
14,,104,,,260.7200012207031,19.471851348876953
14,,104,274.3599853515625,20.307056427001953,,
,0.001,105,,,,
15,,111,,,260.7200012207031,19.37317657470703
15,,111,277.3599853515625,20.200557708740234,,
,0.001,112,,,,
16,,118,,,260.7200012207031,19.275304794311523
16,,118,277.0,20.080320358276367,,
,0.001,119,,,,
17,,125,,,260.7200012207031,19.17819595336914
17,,125,277.0,19.956693649291992,,
,0.001,126,,,,
18,,132,,,260.7200012207031,19.081789016723633
18,,132,276.760009765625,19.89501190185547,,
,0.001,133,,,,
19,,139,,,260.7200012207031,18.98605728149414
19,,139,277.3599853515625,19.741975784301758,,
,0.001,140,,,,
20,,146,,,260.7200012207031,18.890962600708008
20,,146,277.0,19.639524459838867,,
,0.001,147,,,,
21,,153,,,260.7200012207031,18.796485900878906
21,,153,278.55999755859375,19.58234214782715,,
,0.001,154,,,,
22,,160,,,260.7200012207031,18.702600479125977
22,,160,277.0,19.50556182861328,,
,0.001,161,,,,
23,,167,,,260.7200012207031,18.609285354614258
23,,167,276.0400085449219,19.396060943603516,,
,0.001,168,,,,
24,,174,,,260.7200012207031,18.516523361206055
24,,174,276.1600036621094,19.242956161499023,,
,0.001,175,,,,
25,,181,,,260.7200012207031,18.424306869506836
25,,181,275.32000732421875,19.265438079833984,,
,0.001,182,,,,
26,,188,,,260.7200012207031,18.332609176635742
26,,188,275.9200134277344,19.149324417114258,,
,0.001,189,,,,
27,,195,,,260.7200012207031,18.241426467895508
27,,195,277.8399963378906,18.993234634399414,,
,0.001,196,,,,
28,,202,,,260.7200012207031,18.150745391845703
28,,202,278.20001220703125,18.92529296875,,
,0.001,203,,,,
29,,209,,,260.7200012207031,18.060556411743164
29,,209,275.55999755859375,18.82556915283203,,
,0.001,210,,,,
30,,216,,,260.7200012207031,17.970849990844727
30,,216,276.0400085449219,18.720945358276367,,
,0.001,217,,,,
31,,223,,,260.7200012207031,17.881620407104492
31,,223,277.7200012207031,18.608579635620117,,
,0.001,224,,,,
32,,230,,,260.7200012207031,17.792861938476562
32,,230,276.1600036621094,18.499282836914062,,
,0.001,231,,,,
33,,237,,,260.7200012207031,17.704561233520508
33,,237,276.0400085449219,18.5059814453125,,
,0.001,238,,,,
34,,244,,,260.7200012207031,17.616722106933594
34,,244,277.8399963378906,18.328079223632812,,
,0.001,245,,,,
35,,251,,,260.7200012207031,17.529329299926758
35,,251,276.2799987792969,18.228422164916992,,
,0.001,252,,,,
36,,258,,,260.7200012207031,17.4423885345459
36,,258,276.3999938964844,18.1754093170166,,
,0.001,259,,,,
37,,265,,,260.7200012207031,17.355880737304688
37,,265,276.3999938964844,18.028053283691406,,
,0.001,266,,,,
38,,272,,,260.7200012207031,17.269813537597656
38,,272,275.44000244140625,17.97509002685547,,
,0.001,273,,,,
39,,279,,,260.7200012207031,17.184181213378906
39,,279,275.9200134277344,17.890140533447266,,
,0.001,280,,,,
40,,286,,,260.7200012207031,17.098974227905273
40,,286,275.44000244140625,17.80492401123047,,
,0.001,287,,,,
41,,293,,,260.7200012207031,17.01419448852539
41,,293,277.6000061035156,17.71224021911621,,
,0.001,294,,,,
42,,300,,,260.7200012207031,16.929834365844727
42,,300,274.7200012207031,17.614957809448242,,
,0.001,301,,,,
43,,307,,,260.7200012207031,16.845897674560547
43,,307,276.760009765625,17.54685401916504,,
,0.001,308,,,,
44,,314,,,260.7200012207031,16.762372970581055
44,,314,275.44000244140625,17.429296493530273,,
,0.001,315,,,,
45,,321,,,260.7200012207031,16.67926597595215
45,,321,276.6400146484375,17.32901382446289,,
,0.001,322,,,,
46,,328,,,260.7200012207031,16.596569061279297
46,,328,276.8800048828125,17.31690788269043,,
,0.001,329,,,,
47,,335,,,260.7200012207031,16.514280319213867
47,,335,277.239990234375,17.163633346557617,,
,0.001,336,,,,
48,,342,,,260.7200012207031,16.432395935058594
48,,342,277.9599914550781,17.127315521240234,,
,0.001,343,,,,
49,,349,,,260.7200012207031,16.350914001464844
49,,349,276.760009765625,16.986936569213867,,
,0.001,350,,,,
50,,356,,,260.7200012207031,16.269834518432617
50,,356,276.1600036621094,16.959253311157227,,
,0.001,357,,,,
51,,363,,,260.7200012207031,16.189151763916016
51,,363,277.8399963378906,16.8756103515625,,
,0.001,364,,,,
52,,370,,,260.7200012207031,16.108871459960938
52,,370,276.3999938964844,16.768156051635742,,
,0.001,371,,,,
53,,377,,,260.7200012207031,16.02898406982422
53,,377,275.67999267578125,16.666913986206055,,
,0.001,378,,,,
54,,384,,,260.7200012207031,15.949492454528809
54,,384,278.9200134277344,16.621536254882812,,
,0.001,385,,,,
55,,391,,,260.7200012207031,15.87038803100586
55,,391,277.1199951171875,16.54650115966797,,
,0.001,392,,,,
56,,398,,,260.7200012207031,15.791675567626953
56,,398,276.1600036621094,16.43221092224121,,
,0.001,399,,,,
57,,405,,,260.7200012207031,15.71335220336914
57,,405,277.7200012207031,16.36222267150879,,
,0.001,406,,,,
58,,412,,,260.7200012207031,15.635412216186523
58,,412,276.5199890136719,16.28891944885254,,
,0.001,413,,,,
59,,419,,,260.7200012207031,15.55786418914795
59,,419,275.9200134277344,16.185083389282227,,
,0.001,420,,,,
60,,426,,,260.7200012207031,15.480693817138672
60,,426,277.9599914550781,16.092121124267578,,
,0.001,427,,,,
61,,433,,,260.7200012207031,15.403911590576172
61,,433,277.4800109863281,16.004962921142578,,
,0.001,434,,,,
62,,440,,,260.7200012207031,15.327502250671387
62,,440,278.20001220703125,15.940566062927246,,
,0.001,441,,,,
63,,447,,,260.7200012207031,15.251479148864746
63,,447,278.20001220703125,15.925153732299805,,
,0.001,448,,,,
64,,454,,,260.7200012207031,15.175827980041504
64,,454,276.0400085449219,15.781959533691406,,
,0.001,455,,,,
65,,461,,,260.7200012207031,15.100554466247559
65,,461,276.6400146484375,15.688033103942871,,
,0.001,462,,,,
66,,468,,,260.7200012207031,15.02566146850586
