epoch,lr-Adam,step,train/n_events,train/nll,val/n_events,val/nll
,0.001,0,,,,
0,,6,,,260.7200012207031,31.963525772094727
0,,6,275.9200134277344,80.88555908203125,,
,0.001,7,,,,
1,,13,,,260.7200012207031,6.389657974243164
1,,13,277.9599914550781,19.506681442260742,,
,0.001,14,,,,
2,,20,,,260.7200012207031,3.7317614555358887
2,,20,275.79998779296875,4.8930745124816895,,
,0.001,21,,,,
3,,27,,,260.7200012207031,3.6374785900115967
3,,27,277.1199951171875,3.8086652755737305,,
,0.001,28,,,,
4,,34,,,260.7200012207031,3.6179986000061035
4,,34,278.0799865722656,3.763942003250122,,
,0.001,35,,,,
5,,41,,,260.7200012207031,3.603645086288452
5,,41,275.55999755859375,3.7390875816345215,,
,0.001,42,,,,
6,,48,,,260.7200012207031,3.5904791355133057
6,,48,276.1600036621094,3.721381425857544,,
,0.001,49,,,,
7,,55,,,260.7200012207031,3.5777788162231445
7,,55,277.4800109863281,3.709778070449829,,
,0.001,56,,,,
8,,62,,,260.7200012207031,3.565338134765625
8,,62,277.239990234375,3.6929821968078613,,
,0.001,63,,,,
9,,69,,,260.7200012207031,3.553220748901367
9,,69,277.9599914550781,3.6871957778930664,,
,0.001,70,,,,
10,,76,,,260.7200012207031,3.5413458347320557
10,,76,275.67999267578125,3.6771132946014404,,
,0.001,77,,,,
11,,83,,,260.7200012207031,3.5298149585723877
11,,83,278.9200134277344,3.6708574295043945,,
,0.001,84,,,,
12,,90,,,260.7200012207031,3.5182759761810303
12,,90,276.5199890136719,3.6556060314178467,,
,0.001,91,,,,
13,,97,,,260.7200012207031,3.5070221424102783
13,,97,277.0,3.628429651260376,,
,0.001,98,,,,
14,,104,,,260.7200012207031,3.4960007667541504
14,,104,276.760009765625,3.6273763179779053,,
,0.001,105,,,,
15,,111,,,260.7200012207031,3.4851391315460205
15,,111,276.3999938964844,3.6166772842407227,,
,0.001,112,,,,
16,,118,,,260.7200012207031,3.4745192527770996
16,,118,277.0,3.5961315631866455,,
,0.001,119,,,,
17,,125,,,260.7200012207031,3.463930130004883
17,,125,277.7200012207031,3.591991901397705,,
,0.001,126,,,,
18,,132,,,260.7200012207031,3.4534857273101807
18,,132,276.1600036621094,3.587528944015503,,
,0.001,133,,,,
19,,139,,,260.7200012207031,3.443220853805542
19,,139,278.32000732421875,3.5681421756744385,,
,0.001,140,,,,
20,,146,,,260.7200012207031,3.4329493045806885
20,,146,275.79998779296875,3.5537264347076416,,
,0.001,147,,,,
21,,153,,,260.7200012207031,3.422898530960083
21,,153,278.20001220703125,3.559718132019043,,
,0.001,154,,,,
22,,160,,,260.7200012207031,3.412933349609375
