epoch,lr-Adam,step,train/n_events,train/nll,val/n_events,val/nll
,0.001,0,,,,
0,,5,,,124.45454406738281,3.610062599182129
0,,5,145.6144561767578,4.190756797790527,,
,0.001,6,,,,
1,,11,,,124.45454406738281,3.2595200538635254
1,,11,146.55421447753906,3.399768829345703,,
,0.001,12,,,,
2,,17,,,124.45454406738281,3.2370896339416504
2,,17,147.0240936279297,3.175872802734375,,
,0.001,18,,,,
3,,23,,,124.45454406738281,3.2107431888580322
3,,23,146.3975830078125,3.1538655757904053,,
,0.001,24,,,,
4,,29,,,124.45454406738281,3.1701347827911377
4,,29,147.96385192871094,3.1261513233184814,,
