epoch,lr-Adam,step,train/n_events,train/nll,val/n_events,val/nll
,0.001,0,,,,
0,,6,,,260.7200012207031,3.226334571838379
0,,6,277.8399963378906,4.22519588470459,,
,0.001,7,,,,
1,,13,,,260.7200012207031,2.8410449028015137
1,,13,277.9599914550781,3.0152580738067627,,
,0.001,14,,,,
2,,20,,,260.7200012207031,2.750514268875122
2,,20,275.67999267578125,2.80545711517334,,
,0.001,21,,,,
3,,27,,,260.7200012207031,2.698991060256958
3,,27,275.32000732421875,2.7339425086975098,,
,0.001,28,,,,
4,,34,,,260.7200012207031,2.6783454418182373
4,,34,276.2799987792969,2.6964216232299805,,
,0.001,35,,,,
5,,41,,,260.7200012207031,2.6434485912323
5,,41,277.6000061035156,2.6697089672088623,,
,0.001,42,,,,
6,,48,,,260.7200012207031,2.599283218383789
6,,48,276.3999938964844,2.638735771179199,,
,0.001,49,,,,
7,,55,,,260.7200012207031,2.5519895553588867
7,,55,276.760009765625,2.610538959503174,,
,0.001,56,,,,
8,,62,,,260.7200012207031,2.5060927867889404
8,,62,274.8399963378906,2.5886032581329346,,
,0.001,63,,,,
9,,69,,,260.7200012207031,2.479013442993164
9,,69,274.6000061035156,2.564373254776001,,
,0.001,70,,,,
10,,76,,,260.7200012207031,2.473759889602661
10,,76,276.8800048828125,2.5234198570251465,,
,0.001,77,,,,
11,,83,,,260.7200012207031,2.4618008136749268
11,,83,277.1199951171875,2.5080416202545166,,
,0.001,84,,,,
12,,90,,,260.7200012207031,2.4577789306640625
12,,90,277.6000061035156,2.495223045349121,,
,0.001,91,,,,
13,,97,,,260.7200012207031,2.4810056686401367
13,,97,277.8399963378906,2.497645616531372,,
,0.001,98,,,,
14,,104,,,260.7200012207031,2.463961601257324
14,,104,276.2799987792969,2.494677782058716,,
,0.001,105,,,,
15,,111,,,260.7200012207031,2.4835121631622314
15,,111,277.3599853515625,2.4776039123535156,,
,0.001,112,,,,
16,,118,,,260.7200012207031,2.460484027862549
16,,118,277.3599853515625,2.470708131790161,,
,0.001,119,,,,
17,,125,,,260.7200012207031,2.472311496734619
17,,125,277.6000061035156,2.4607155323028564,,
,0.001,126,,,,
18,,132,,,260.7200012207031,2.4565236568450928
18,,132,278.32000732421875,2.463663339614868,,
,0.001,133,,,,
19,,139,,,260.7200012207031,2.4632656574249268
19,,139,277.7200012207031,2.446533679962158,,
,0.001,140,,,,
20,,146,,,260.7200012207031,2.4395699501037598
20,,146,276.3999938964844,2.4405884742736816,,
,0.001,147,,,,
21,,153,,,260.7200012207031,2.4497604370117188
21,,153,277.0,2.4204213619232178,,
,0.001,154,,,,
22,,160,,,260.7200012207031,2.443911075592041
22,,160,277.1199951171875,2.398190975189209,,
,0.001,161,,,,
23,,167,,,260.7200012207031,2.446305990219116
23,,167,276.5199890136719,2.3981592655181885,,
,0.001,168,,,,
24,,174,,,260.7200012207031,2.458951473236084
24,,174,276.3999938964844,2.395143985748291,,
,0.001,175,,,,
25,,181,,,260.7200012207031,2.4576220512390137
25,,181,277.239990234375,2.3821027278900146,,
,0.001,182,,,,
26,,188,,,260.7200012207031,2.4698078632354736
26,,188,278.0799865722656,2.351539134979248,,
,0.001,189,,,,
27,,195,,,260.7200012207031,2.4830846786499023
27,,195,276.0400085449219,2.340228319168091,,
,0.001,196,,,,
28,,202,,,260.7200012207031,2.4719717502593994
28,,202,276.5199890136719,2.3257319927215576,,
,0.001,203,,,,
29,,209,,,260.7200012207031,2.5050442218780518
29,,209,276.2799987792969,2.3108108043670654,,
,0.001,210,,,,
30,,216,,,260.7200012207031,2.527661085128784
30,,216,277.0,2.2923054695129395,,
,0.001,217,,,,
31,,223,,,260.7200012207031,2.578324794769287
31,,223,276.3999938964844,2.273416757583618,,
,0.0005,224,,,,
32,,230,,,260.7200012207031,2.5560407638549805
32,,230,275.9200134277344,2.2530858516693115,,
,0.0005,231,,,,
33,,237,,,260.7200012207031,2.5777089595794678
33,,237,275.32000732421875,2.2209393978118896,,
,0.0005,238,,,,
34,,244,,,260.7200012207031,2.602973222732544
34,,244,275.32000732421875,2.211416244506836,,
,0.0005,245,,,,
35,,251,,,260.7200012207031,2.62644624710083
35,,251,278.32000732421875,2.2001476287841797,,
,0.0005,252,,,,
36,,258,,,260.7200012207031,2.655827522277832
36,,258,274.4800109863281,2.190791606903076,,
,0.0005,259,,,,
37,,265,,,260.7200012207031,2.6780953407287598
37,,265,276.8800048828125,2.1501572132110596,,
,0.0005,266,,,,
38,,272,,,260.7200012207031,2.6912167072296143
38,,272,278.0799865722656,2.1383843421936035,,
,0.0005,273,,,,
39,,279,,,260.7200012207031,2.7137584686279297
39,,279,275.32000732421875,2.1359620094299316,,
,0.0005,280,,,,
40,,286,,,260.7200012207031,2.7435085773468018
40,,286,276.8800048828125,2.0913665294647217,,
