epoch,lr-AdamW,step,train/n_events,train/nll,val/n_events,val/nll
,0.0003,0,,,,
0,,1,,,208.0,8.569311141967773
0,,1,505.0843505859375,8.811936378479004,,
,0.0003,2,,,,
1,,3,,,208.0,8.101907730102539
1,,3,498.0361328125,8.269593238830566,,
,0.0003,4,,,,
2,,5,,,208.0,7.648004531860352
2,,5,503.45782470703125,7.8227667808532715,,
,0.0003,6,,,,
3,,7,,,208.0,7.177112102508545
3,,7,493.1566162109375,7.380563259124756,,
,0.0003,8,,,,
4,,9,,,208.0,6.695169925689697
4,,9,508.33734130859375,6.926640510559082,,
,0.0003,10,,,,
5,,11,,,208.0,6.210732460021973
5,,11,512.6746826171875,6.455870151519775,,
,0.0003,12,,,,
6,,13,,,208.0,5.731409072875977
6,,13,511.5903625488281,5.99433708190918,,
,0.0003,14,,,,
7,,15,,,208.0,5.2676167488098145
7,,15,499.1204833984375,5.525720119476318,,
,0.0003,16,,,,
8,,17,,,208.0,4.83247184753418
8,,17,506.7108459472656,5.086139678955078,,
,0.0003,18,,,,
9,,19,,,208.0,4.440780162811279
9,,19,513.2168579101562,4.668748378753662,,
,0.0003,20,,,,
10,,21,,,208.0,4.107322692871094
10,,21,509.42169189453125,4.29749059677124,,
,0.0003,22,,,,
11,,23,,,208.0,3.8450186252593994
11,,23,493.1566162109375,3.985748767852783,,
,0.0003,24,,,,
12,,25,,,208.0,3.661699056625366
12,,25,518.6385498046875,3.740027904510498,,
,0.0003,26,,,,
13,,27,,,208.0,3.553332805633545
13,,27,506.1686706542969,3.5717623233795166,,
,0.0003,28,,,,
14,,29,,,208.0,3.4982669353485107
14,,29,511.5903625488281,3.4722447395324707,,
,0.0003,30,,,,
15,,31,,,208.0,3.462986946105957
15,,31,500.204833984375,3.4243485927581787,,
,0.0003,32,,,,
16,,33,,,208.0,3.4190471172332764
16,,33,504.54217529296875,3.39088773727417,,
,0.0003,34,,,,
17,,35,,,208.0,3.3626110553741455
17,,35,506.7108459472656,3.344874143600464,,
,0.0003,36,,,,
18,,37,,,208.0,3.3071177005767822
18,,37,504.54217529296875,3.2883107662200928,,
,0.0003,38,,,,
19,,39,,,208.0,3.2714335918426514
19,,39,494.78314208984375,3.2311010360717773,,
