epoch,lr-Adam,step,train/n_events,train/nll,val/n_events,val/nll
,0.001,0,,,,
0,,5,,,124.45454406738281,2.920355796813965
0,,5,147.0240936279297,3.112269401550293,,
,0.001,6,,,,
1,,11,,,124.45454406738281,2.922045946121216
1,,11,145.30120849609375,3.0696427822113037,,
,0.001,12,,,,
2,,17,,,124.45454406738281,2.9361155033111572
2,,17,146.240966796875,2.725726842880249,,
,0.001,18,,,,
3,,23,,,124.45454406738281,2.968291997909546
3,,23,146.71084594726562,2.7722625732421875,,
,0.001,24,,,,
4,,29,,,124.45454406738281,2.9156954288482666
4,,29,147.80723571777344,2.975090503692627,,
